MatchID,Inning,Batter,Runs,Balls
1298175,1,41445,4,13
1298175,1,233901,24,14
1298175,1,307774,32,32
1298175,1,348144,25,33
1298175,1,380558,1,3
1298175,1,1205559,31,18
1298177,0,277906,46,42
1298177,0,355269,16,12
1298177,0,379140,21,20
1298177,0,381743,53,35
1298177,0,670013,4,3
1298177,0,823509,6,8
1298177,1,233901,3,5
1298177,1,307774,57,44
1298177,1,348144,53,43
1298177,1,1205559,30,26
1298179,0,34538,20,15
1298179,0,41445,5,7
1298179,0,233901,38,30
1298179,0,307774,15,15
1298179,0,348144,32,29
1298179,0,380558,0,6
1298179,0,1015499,4,8
1298179,0,1072470,5,3
1298179,0,1161606,1,1
1298179,0,1205559,8,13
1298179,1,8917,19,13
1298179,1,249866,1,2
1298179,1,308967,26,19
1298179,1,311158,52,51
1298179,1,403902,1,1
1298179,1,669365,10,9
1298179,1,911707,20,23
1311737,0,34538,48,30
1311737,0,41445,4,10
1311737,0,307774,14,17
1311737,0,348144,74,88
1311737,0,512191,109,111
1311737,0,568276,2,19
1311737,0,623977,27,16
1311737,0,716733,21,18
1311737,1,44407,2,8
1311737,1,219885,65,54
1311737,1,440522,28,25
1311737,1,643197,1,6
1311737,1,886607,71,61
1311737,1,1036191,16,30
1311737,1,1129328,15,21
1311737,1,1153767,65,100
1311737,1,1193548,0,1
1311737,1,1195672,6,5
1311738,0,44407,3,7
1311738,0,219885,66,74
1311738,0,416103,0,5
1311738,0,440522,13,28
1311738,0,643197,1,8
1311738,0,886607,5,9
1311738,0,1036191,89,122
1311738,0,1129328,0,2
1311738,0,1153767,1,3
1311738,0,1193548,0,3
1311738,0,1195672,1,8
1311738,1,307774,69,84
1311738,1,348144,57,66
1311738,1,512191,3,10
1311738,1,568276,6,11
1311738,1,623977,50,36
1311739,0,41445,27,35
1311739,0,43817,9,8
1311739,0,348144,91,128
1311739,0,512191,26,43
1311739,0,623977,24,43
1311739,0,716733,2,8
1311739,0,922941,2,5
1311739,0,1015499,11,15
1311739,0,1158088,3,10
1311739,0,1205559,4,10
1311739,1,219885,62,108
1311739,1,416103,1,2
1311739,1,440522,8,12
1311739,1,643197,3,11
1311739,1,886607,6,6
1311739,1,1036191,5,12
1311739,1,1129328,24,35
1311739,1,1153767,50,87
1311739,1,1184439,11,21
1311739,1,1195672,5,3
1311739,1,1278252,5,10
1288310,0,212153,185,361
1288310,0,307774,29,46
1288310,0,348144,36,82
1288310,0,380558,13,21
1288310,0,568276,157,358
1288310,0,922941,44,105
1288310,1,215155,97,159
1288310,1,219889,68,114
1288310,1,267192,78,196
1288310,1,272279,3,7
1288310,1,311592,13,45
1288310,1,326434,19,43
1288310,1,332345,48,109
1288310,1,489889,8,11
1288310,1,530011,8,7
1288310,1,787987,90,158
1288311,0,215155,160,372
1288311,0,219889,36,48
1288311,0,267192,72,215
1288311,0,272279,38,62
1288311,0,311592,28,97
1288311,0,326434,93,159
1288311,0,332345,28,74
1288311,0,489889,34,36
1288311,0,530011,23,48
1288311,0,590326,15,26
1288311,0,787987,0,9
1288311,1,40250,0,1
1288311,1,212153,14,37
1288311,1,238672,20,35
1288311,1,307774,6,13
1288311,1,307826,0,8
1288311,1,348144,36,79
1288311,1,568276,20,64
1288311,1,681117,4,7
1288311,1,922941,13,36
1288311,1,1072470,19,25
1288311,1,1076625,5,16
1288312,0,215155,91,219
1288312,0,219889,7,13
1288312,0,267192,59,169
1288312,0,272279,4,3
1288312,0,311592,13,33
1288312,0,326434,67,105
1288312,0,332345,79,163
1288312,0,489889,11,25
1288312,0,530011,26,70
1288312,0,590326,9,7
1288312,0,787987,0,2
1288312,1,40250,13,56
1288312,1,212153,78,208
1288312,1,238672,0,3
1288312,1,307774,1,14
1288312,1,307826,0,4
1288312,1,348144,67,131
1288312,1,568276,11,41
1288312,1,922941,81,228
1288312,1,1072470,0,1
1288312,1,1076625,6,17
1288312,1,1158088,0,3
1288313,0,5334,23,38
1288313,0,325012,26,43
1288313,0,326434,4,4
1288313,0,332345,40,32
1288313,0,398666,14,9
1288313,0,530011,101,74
1288313,0,603410,55,71
1288313,0,787987,25,39
1288313,0,826915,3,2
1288313,1,43817,0,4
1288313,1,307774,10,19
1288313,1,307826,2,9
1288313,1,348144,57,72
1288313,1,380558,2,9
1288313,1,512191,18,18
1288313,1,568276,103,96
1288313,1,652687,3,8
